Test Name:,"UCT-AST9AH-A06",
Test Date:,"2024/03/04 10:48:13 AM",
Operator ID:,"Uyilo",

Program Name:,"UCT-Charge and par discharge",
Program Description:,"Charge and discharge test",
Program Database:,C:\VisuaLCN\Programs\Standard tests.mdb,

Module Type:,fj,
Module Description:,"LCV 16-100-12",
Address:,"Port: 1, Sys Controller: 1  Circuit: 14",
Name:,"Channel 14",Device ID:,"Unknown",

"Exclude","Total Time, (h:m:s)","Cycle","Loop Counter #1","Loop Counter #2","Loop Counter #3","Step","Step time, (h:m:s)","Current, A","Voltage, V","Power, W","Amp-Hours, AH","Watt-Hours, WH","Unassigned A1","Unassigned A2","Mode","Data Acquisition Flag",
No,="0:02:27.0",1,1,1,1,2,="0:02:17.0",1.50,13.438,20.1,0.05,0.75,0.0,0.0,CHRG, ,
No,="0:02:28.0",1,1,1,1,2,="0:02:18.0",1.50,13.439,20.1,0.05,0.75,0.0,0.0,CHRG, ,
No,="0:02:29.0",1,1,1,1,2,="0:02:19.0",1.50,13.441,20.1,0.05,0.76,0.0,0.0,CHRG, ,
No,="0:02:30.0",1,1,1,1,2,="0:02:20.0",1.50,13.442,20.1,0.05,0.77,0.0,0.0,CHRG, ,
No,="0:02:31.0",1,1,1,1,2,="0:02:21.0",1.50,13.443,20.1,0.05,0.77,0.0,0.0,CHRG, ,
No,="0:02:32.0",1,1,1,1,2,="0:02:22.0",1.50,13.444,20.1,0.05,0.78,0.0,0.0,CHRG, ,
No,="0:02:33.0",1,1,1,1,2,="0:02:23.0",1.50,13.445,20.1,0.05,0.78,0.0,0.0,CHRG, ,
No,="0:02:34.0",1,1,1,1,2,="0:02:24.0",1.50,13.446,20.1,0.05,0.79,0.0,0.0,CHRG, ,
No,="0:02:35.0",1,1,1,1,2,="0:02:25.0",1.50,13.448,20.1,0.06,0.79,0.0,0.0,CHRG, ,
No,="0:02:36.0",1,1,1,1,2,="0:02:26.0",1.50,13.449,20.1,0.06,0.80,0.0,0.0,CHRG, ,
No,="0:02:37.0",1,1,1,1,2,="0:02:27.0",1.50,13.450,20.1,0.06,0.80,0.0,0.0,CHRG, ,
No,="0:02:38.0",1,1,1,1,2,="0:02:28.0",1.50,13.451,20.1,0.06,0.81,0.0,0.0,CHRG, ,
No,="0:02:39.0",1,1,1,1,2,="0:02:29.0",1.50,13.452,20.1,0.06,0.82,0.0,0.0,CHRG, ,
No,="0:02:40.0",1,1,1,1,2,="0:02:30.0",1.50,13.453,20.1,0.06,0.82,0.0,0.0,CHRG, ,
No,="0:02:41.0",1,1,1,1,2,="0:02:31.0",1.50,13.455,20.1,0.06,0.83,0.0,0.0,CHRG, ,
No,="0:02:42.0",1,1,1,1,2,="0:02:32.0",1.50,13.456,20.1,0.06,0.83,0.0,0.0,CHRG, ,
No,="0:02:43.0",1,1,1,1,2,="0:02:33.0",1.50,13.457,20.1,0.06,0.84,0.0,0.0,CHRG, ,
No,="0:02:44.0",1,1,1,1,2,="0:02:34.0",1.50,13.458,20.1,0.06,0.84,0.0,0.0,CHRG, ,
No,="0:02:45.0",1,1,1,1,2,="0:02:35.0",1.50,13.459,20.1,0.06,0.85,0.0,0.0,CHRG, ,
No,="0:02:46.0",1,1,1,1,2,="0:02:36.0",1.50,13.460,20.1,0.06,0.85,0.0,0.0,CHRG, ,
No,="0:02:47.0",1,1,1,1,2,="0:02:37.0",1.50,13.461,20.1,0.06,0.86,0.0,0.0,CHRG, ,
No,="0:02:48.0",1,1,1,1,2,="0:02:38.0",1.50,13.463,20.1,0.06,0.87,0.0,0.0,CHRG, ,
No,="0:02:49.0",1,1,1,1,2,="0:02:39.0",1.50,13.463,20.1,0.06,0.87,0.0,0.0,CHRG, ,
No,="0:02:50.0",1,1,1,1,2,="0:02:40.0",1.50,13.465,20.1,0.06,0.88,0.0,0.0,CHRG, ,
No,="0:02:51.0",1,1,1,1,2,="0:02:41.0",1.50,13.466,20.1,0.06,0.88,0.0,0.0,CHRG, ,
No,="0:02:52.0",1,1,1,1,2,="0:02:42.0",1.50,13.467,20.1,0.06,0.89,0.0,0.0,CHRG, ,
No,="0:02:53.0",1,1,1,1,2,="0:02:43.0",1.50,13.468,20.1,0.06,0.89,0.0,0.0,CHRG, ,
No,="0:02:54.0",1,1,1,1,2,="0:02:44.0",1.50,13.469,20.1,0.06,0.90,0.0,0.0,CHRG, ,
No,="0:02:55.0",1,1,1,1,2,="0:02:45.0",1.50,13.470,20.2,0.06,0.91,0.0,0.0,CHRG, ,
No,="0:02:56.0",1,1,1,1,2,="0:02:46.0",1.50,13.471,20.1,0.06,0.91,0.0,0.0,CHRG, ,
No,="0:02:57.0",1,1,1,1,2,="0:02:47.0",1.50,13.473,20.1,0.06,0.92,0.0,0.0,CHRG, ,
No,="0:02:58.0",1,1,1,1,2,="0:02:48.0",1.50,13.474,20.1,0.06,0.92,0.0,0.0,CHRG, ,
No,="0:02:59.0",1,1,1,1,2,="0:02:49.0",1.50,13.475,20.2,0.07,0.93,0.0,0.0,CHRG, ,
No,="0:03:00.0",1,1,1,1,2,="0:02:50.0",1.50,13.475,20.1,0.07,0.93,0.0,0.0,CHRG, ,
No,="0:03:01.0",1,1,1,1,2,="0:02:51.0",1.50,13.476,20.1,0.07,0.94,0.0,0.0,CHRG, ,
No,="0:03:02.0",1,1,1,1,2,="0:02:52.0",1.50,13.478,20.1,0.07,0.94,0.0,0.0,CHRG, ,
No,="0:03:03.0",1,1,1,1,2,="0:02:53.0",1.50,13.478,20.1,0.07,0.95,0.0,0.0,CHRG, ,
No,="0:03:04.0",1,1,1,1,2,="0:02:54.0",1.50,13.479,20.2,0.07,0.96,0.0,0.0,CHRG, ,
No,="0:03:05.0",1,1,1,1,2,="0:02:55.0",1.50,13.481,20.1,0.07,0.96,0.0,0.0,CHRG, ,
No,="0:03:06.0",1,1,1,1,2,="0:02:56.0",1.50,13.481,20.2,0.07,0.97,0.0,0.0,CHRG, ,
No,="0:03:07.0",1,1,1,1,2,="0:02:57.0",1.49,13.483,20.1,0.07,0.97,0.0,0.0,CHRG, ,
No,="0:03:08.0",1,1,1,1,2,="0:02:58.0",1.50,13.483,20.1,0.07,0.98,0.0,0.0,CHRG, ,
No,="0:03:09.0",1,1,1,1,2,="0:02:59.0",1.50,13.484,20.1,0.07,0.98,0.0,0.0,CHRG, ,
No,="0:03:10.0",1,1,1,1,2,="0:03:00.0",1.50,13.486,20.1,0.07,0.99,0.0,0.0,CHRG, ,
No,="0:03:11.0",1,1,1,1,2,="0:03:01.0",1.50,13.486,20.1,0.07,0.99,0.0,0.0,CHRG, ,
