Test Name:,"UCT_AST_9AH_B01_CHG",
Test Date:,"2024/05/10 02:41:30 PM",
Operator ID:,"Uyilo",

Program Name:,"UCT_AST9AH_VARIED_DISCH",
Program Description:,"Charge and discharge test",
Program Database:,C:\VisuaLCN\Programs\Standard tests.mdb,

Module Type:,fj,
Module Description:,"LCV 16-100-12",
Address:,"Port: 1, Sys Controller: 1  Circuit: 8",
Name:,"Channel 8",Device ID:,"Unknown",

"Exclude","Total Time, (h:m:s)","Cycle","Loop Counter #1","Loop Counter #2","Loop Counter #3","Step","Step time, (h:m:s)","Current, A","Voltage, V","Power, W","Amp-Hours, AH","Watt-Hours, WH","Unassigned A1","Unassigned A2","Mode","Data Acquisition Flag",
No,="0:06:25.8",1,1,1,1,4,="0:00:57.0",0.25,13.700,3.3,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:06:26.8",1,1,1,1,4,="0:00:58.0",0.24,13.701,3.3,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:06:27.8",1,1,1,1,4,="0:00:59.0",0.24,13.700,3.2,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:06:28.8",1,1,1,1,4,="0:01:00.0",0.25,13.701,3.4,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:06:29.8",1,1,1,1,4,="0:01:01.0",0.24,13.700,3.2,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:06:30.8",1,1,1,1,4,="0:01:02.0",0.25,13.701,3.3,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:06:31.8",1,1,1,1,4,="0:01:03.0",0.24,13.701,3.2,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:06:32.8",1,1,1,1,4,="0:01:04.0",0.24,13.701,3.3,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:06:33.8",1,1,1,1,4,="0:01:05.0",0.24,13.700,3.2,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:06:34.8",1,1,1,1,4,="0:01:06.0",0.24,13.700,3.2,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:06:35.8",1,1,1,1,4,="0:01:07.0",0.24,13.700,3.2,0.00,0.06,0.0,0.0,CHRG, ,
No,="0:06:36.8",1,1,1,1,4,="0:01:08.0",0.24,13.700,3.2,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:06:37.8",1,1,1,1,4,="0:01:09.0",0.24,13.700,3.2,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:06:38.8",1,1,1,1,4,="0:01:10.0",0.24,13.701,3.3,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:06:39.8",1,1,1,1,4,="0:01:11.0",0.23,13.700,3.2,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:06:40.8",1,1,1,1,4,="0:01:12.0",0.24,13.700,3.2,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:06:41.8",1,1,1,1,4,="0:01:13.0",0.23,13.701,3.1,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:06:42.8",1,1,1,1,4,="0:01:14.0",0.23,13.700,3.1,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:06:43.8",1,1,1,1,4,="0:01:15.0",0.22,13.700,3.0,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:06:44.8",1,1,1,1,4,="0:01:16.0",0.23,13.700,3.1,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:06:45.8",1,1,1,1,4,="0:01:17.0",0.23,13.700,3.0,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:06:46.8",1,1,1,1,4,="0:01:18.0",0.23,13.700,3.1,0.00,0.07,0.0,0.0,CHRG, ,
No,="0:06:47.8",1,1,1,1,4,="0:01:19.0",0.23,13.700,3.1,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:48.8",1,1,1,1,4,="0:01:20.0",0.23,13.701,3.1,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:49.8",1,1,1,1,4,="0:01:21.0",0.22,13.700,3.0,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:50.8",1,1,1,1,4,="0:01:22.0",0.23,13.701,3.1,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:51.8",1,1,1,1,4,="0:01:23.0",0.23,13.700,3.1,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:52.8",1,1,1,1,4,="0:01:24.0",0.23,13.701,3.0,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:53.8",1,1,1,1,4,="0:01:25.0",0.22,13.700,3.0,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:54.8",1,1,1,1,4,="0:01:26.0",0.23,13.700,3.1,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:55.8",1,1,1,1,4,="0:01:27.0",0.22,13.700,3.0,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:56.8",1,1,1,1,4,="0:01:28.0",0.22,13.700,3.0,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:57.8",1,1,1,1,4,="0:01:29.0",0.22,13.700,3.0,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:58.8",1,1,1,1,4,="0:01:30.0",0.22,13.700,3.0,0.00,0.08,0.0,0.0,CHRG, ,
No,="0:06:59.8",1,1,1,1,4,="0:01:31.0",0.22,13.700,3.0,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:07:00.8",1,1,1,1,4,="0:01:32.0",0.22,13.701,3.0,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:07:01.8",1,1,1,1,4,="0:01:33.0",0.23,13.701,3.1,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:07:02.8",1,1,1,1,4,="0:01:34.0",0.22,13.700,3.0,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:07:03.8",1,1,1,1,4,="0:01:35.0",0.23,13.700,3.1,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:07:04.8",1,1,1,1,4,="0:01:36.0",0.23,13.700,3.1,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:07:05.8",1,1,1,1,4,="0:01:37.0",0.22,13.700,3.0,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:07:06.8",1,1,1,1,4,="0:01:38.0",0.22,13.701,3.0,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:07:07.8",1,1,1,1,4,="0:01:39.0",0.22,13.700,2.9,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:07:08.8",1,1,1,1,4,="0:01:40.0",0.21,13.700,2.8,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:07:09.8",1,1,1,1,4,="0:01:41.0",0.22,13.700,2.9,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:07:10.8",1,1,1,1,4,="0:01:42.0",0.21,13.700,2.9,0.00,0.09,0.0,0.0,CHRG, ,
No,="0:07:11.8",1,1,1,1,4,="0:01:43.0",0.21,13.701,2.9,0.00,0.10,0.0,0.0,CHRG, ,
No,="0:07:12.8",1,1,1,1,4,="0:01:44.0",0.21,13.700,2.9,0.00,0.10,0.0,0.0,CHRG, ,
No,="0:07:13.8",1,1,1,1,4,="0:01:45.0",0.21,13.699,2.9,0.00,0.10,0.0,0.0,CHRG, ,
No,="0:07:14.8",1,1,1,1,4,="0:01:46.0",0.21,13.700,2.9,0.00,0.10,0.0,0.0,CHRG, ,
No,="0:07:15.8",1,1,1,1,4,="0:01:47.0",0.22,13.700,2.9,0.00,0.10,0.0,0.0,CHRG, ,
No,="0:07:16.8",1,1,1,1,4,="0:01:48.0",0.21,13.700,2.9,0.00,0.10,0.0,0.0,CHRG, ,
No,="0:07:17.8",1,1,1,1,4,="0:01:49.0",0.22,13.700,3.0,0.00,0.10,0.0,0.0,CHRG, ,
No,="0:07:18.8",1,1,1,1,4,="0:01:50.0",0.21,13.701,2.8,0.00,0.10,0.0,0.0,CHRG, ,
No,="0:07:19.8",1,1,1,1,4,="0:01:51.0",0.22,13.701,3.0,0.00,0.10,0.0,0.0,CHRG, ,
No,="0:07:20.8",1,1,1,1,4,="0:01:52.0",0.22,13.700,2.9,0.00,0.10,0.0,0.0,CHRG, ,
No,="0:07:21.8",1,1,1,1,4,="0:01:53.0",0.23,13.701,3.1,0.00,0.10,0.0,0.0,CHRG, ,
No,="0:07:22.8",1,1,1,1,4,="0:01:54.0",0.21,13.700,2.9,0.00,0.10,0.0,0.0,CHRG, ,
No,="0:07:23.8",1,1,1,1,4,="0:01:55.0",0.21,13.700,2.8,0.00,0.11,0.0,0.0,CHRG, ,
No,="0:07:24.8",1,1,1,1,4,="0:01:56.0",0.21,13.700,2.8,0.00,0.11,0.0,0.0,CHRG, ,
No,="0:07:25.8",1,1,1,1,4,="0:01:57.0",0.21,13.701,2.8,0.00,0.11,0.0,0.0,CHRG, ,
No,="0:07:26.8",1,1,1,1,4,="0:01:58.0",0.21,13.701,2.8,0.00,0.11,0.0,0.0,CHRG, ,
